Word,Positive Score,Negative Score
ਅਪ੍ਰਤੱਖ,0.125,0.625
ਤੰਗਲ,0.0,0.0
ਸਿਲਾਈ,0.0,0.0
ਸੁਹਣੇ,0.75,0.0
ਵਿਨਾਸ਼ੀ,0.0,0.75
ਕੋਠੜੀ,0.0,0.0
ਗੜੂੰਦਣਾ,0.0,0.375
ਫਟਣਾ,0.0,0.0
ਪਛਾੜ,0.325,0.578125
ਕਬੁੱਧਾ,0.0,0.4375
ਵਾਢੀ,0.375,0.0
ਤੰਗੀ,0.3125,0.125
ਅਪਰੰਪਾਰ,0.1875,0.4375
ਚਲਾਕੀ,0.3472222,0.3125
ਆਵਾਰਾਗਰਦ,0.0,0.75
ਖਿੜਖਿੜਾਹਟ,0.75,0.375
ਗੁੰਡਪੁਣਾ,0.375,0.375
ਪਾਣੀ,0.0,0.0
ਵੇਚਨਾ,0.0,0.0
ਮਾਪਣਾ,0.22222222,0.30357143
ਸਦਾਬਹਾਰ,0.125,0.125
ਉਗਲਣਾ,0.234375,0.21875
ਸੁਹਣਾ,0.75,0.0
ਸੁਹਣੀ,0.75,0.0
ਨਮੂਦਾਰ,0.0,0.0
ਇਨਕਲਾਬੀ,0.25,0.0
ਪਾਤਰ,0.4351889,0.20553333
ਦੁਪਾਸਾ,0.0,0.125
ਉਛਾੜ,0.0,0.0
ਕਟਾਰ_ਪ੍ਰਾਦੀਪ,0.0625,0.0
ਮੌਨ,0.0,0.0
ਪਿਆਜ,0.0,0.0625
ਵਾਣੀ,0.0,0.0
ਅਭਿਲਾਸ਼ੀ,0.375,0.125
ਸਨਾਤਨਵਾਦ,0.25,0.0
ਹਿੱਜਾ,0.125,0.0
2,0.0,0.0
ਖਾਵੰਦ,0.625,0.0
3,0.0,0.0
ਤੰਗੜ,0.0,0.0
ਨੇਜ਼ਾਬਰਦਾਰ,0.0,0.0
ਅਭਿਲਾਸ਼ਾ,0.19642857,0.25
ਉਪੱਦਰਵੀ,0.20833333,0.4375
8,0.0,0.0
ਮੋੜ,0.28125,0.16666667
ਪਿਆਰ,0.375,0.125
9,0.0,0.0
ਦਰਜ_ਕਰਨਾ,0.0,0.0
ਦੁਪਾਸੜ,0.0,0.125
ਤਰਾਉਤ,0.625,0.25
ਸੁਕੜੂ,0.21428572,0.265625
ਤ੍ਰੈ,0.0,0.0
ਵਿਨਾਸੀ,0.0,0.75
ਠੇਕਣਾ,0.0,0.0
1000,0.0,0.0
ਨਿਭਾਉਣਾ,0.125,0.0
ਸੁਕੜੋ,0.21428572,0.265625
ਸੰਖੇਪਤਾ,0.125,0.3125
ਇਕਾਈ,0.0,0.25
ਹਿੰਸਾ,0.0,0.0
ਪਛਾਣ,0.0,0.0
ਪ੍ਰਜਾਤੰਤਰੀ,0.3125,0.25
ਰਿਕਾਰਡ_ਐਲਬਮ,0.0,0.0
ਰਓਂ,0.0,0.0
ਟੱਕਣਾ,0.0,0.0
ਝੁਕਣਾ,0.125,0.40625
ਰਾਖਵੀਂਆਂ,0.0,0.0
ਖੁਸ਼ਆਮਦੀਦ,0.375,0.0
ਬੰਦੂਆ,0.0625,0.1875
ਵਾਡੀ,0.375,0.0
ਖਤਮ_ਕਰਨਾ,0.083333336,0.5
ਪਰਦਾ_ਫਾਸ਼_ਕਰਨਾ,0.25,0.26041666
ਗੌਰਵਤਾ,0.3125,0.5625
ਸਵਸਥਤਾ,0.125,0.625
ਸੁਖਾਲ,0.0,0.0
ਤੰਮੂਰੀ,0.0,0.0
ਪ੍ਰਾਣਵਾਨ,0.4,0.175
ਸੌਕੜਾ,0.0625,0.125
ਖਊਂ_ਖਊਂ_ਕਰਨਾ,0.0,0.0
ਨਿਰਮੋਹ,0.21875,0.5138889
ਭੰਨ,0.125,0.125
ਠੁਣ੍ਹਾ,0.0,0.75
ਹਿਬਰੂ,0.25,0.25
ਵੇਚਣਾ,0.0,0.0
ਤ੍ਰਕ,0.625,0.0
ਦੋਤਰਫ਼ਾ,0.1875,0.0625
ਪਛਤਾਉਣਾ,0.0,0.125
ਉੱਭਰਵਾਂ,0.45833334,0.125
ਕੁਣਪ,0.0,0.75
ਬੇਵਸਾਹ,0.0,0.0
ਨਿਰਮਲ,0.39903846,0.38392857
ਉਪਕਾਰੀ,0.625,0.125
ਛਿਛਲਾ,0.0,0.25
ਭੱਖ,0.125,0.3125
ਨਿਰਭੌ,0.5,0.125
ਪਲੀਤਾ,0.0,0.0
ਪਹਿਲਾਂ,0.0,0.125
ਚੁੰਮਣਾ,0.0,0.625
